"ensembl_gene_id","PC3_NT1","PC3_NT2","PC3_NT3","PC3_TR1","PC3_TR2","PC3_TR3"
"ENSG00000223972",0,0,0,0,0,0
"ENSG00000259553",0,0,0,0,0,0
"ENSG00000267588",0,0,0,0,0,0
"ENSG00000227518",0,0,0,0,0,0
"ENSG00000243485",0,0,0,0,0,0
"ENSG00000268020",0,0,0,0,0,0
"ENSG00000240361",0,0,0,0,0,0
"ENSG00000186092",0,0,0,0,0,0
"ENSG00000233750",12.2733,8.60524,5.72096,8.04381,13.9283,10.6369
"ENSG00000235249",0,0,0,0,0,0
"ENSG00000225972",0,0.358552,1.14419,2.29823,1.19386,0.75978
"ENSG00000225630",207.593,243.815,207.099,300.302,311.596,346.08
"ENSG00000268663",0,0,0,0,0,0
"ENSG00000229376",0,0.358552,0.381397,0,1.19386,0
"ENSG00000177757",0,0.358552,0,0.383039,0,0
"ENSG00000228794",55.405,55.934,38.1397,50.5611,66.8559,53.1846
"ENSG00000234711",0,0,0,0,0,0
"ENSG00000187634",0,0.717103,0,0.383039,1.59181,0.37989
"ENSG00000187961",43.1317,36.9308,39.2839,31.0261,50.1419,33.0504
"ENSG00000187583",28.4038,21.8716,26.3164,18.3859,19.8976,23.1733
"ENSG00000187608",392.744,562.209,379.109,502.93,397.952,283.398
"ENSG00000207730",0,0,0,0,0,0
"ENSG00000207607",0,0,0,0,0,0
"ENSG00000198976",0,0,0,0,0,0
"ENSG00000162571",0.701329,0,0,0,0,0
"ENSG00000176022",350.665,401.578,345.165,402.574,372.881,325.946
"ENSG00000162572",19.9879,15.0592,9.53493,17.6198,30.2443,16.7152
"ENSG00000169972",114.667,130.871,163.238,117.976,121.773,131.442
"ENSG00000224051",182.346,230.549,246.001,210.671,200.966,217.677
"ENSG00000169962",2.10399,1.07565,2.28838,2.29823,1.19386,1.89945
"ENSG00000205116",0,0,0,0,0,0
"ENSG00000179403",22.0919,28.3256,23.2652,17.2367,19.1017,23.5532
"ENSG00000215915",5.61063,5.01972,3.81397,4.59647,8.35699,2.27934
"ENSG00000160072",374.159,314.45,350.886,273.873,356.963,376.471
"ENSG00000197785",342.249,341.341,470.644,388.784,380.044,456.628
"ENSG00000197530",181.294,218.358,144.931,209.139,234.792,161.453
"ENSG00000189409",3.15598,2.50986,4.19537,2.29823,5.57133,1.51956
"ENSG00000215914",0,0,0,0,0,0
"ENSG00000169885",1.05199,0.358552,0,0,1.98976,0.37989
"ENSG00000187730",0,0,0,0.383039,0,0
"ENSG00000067606",130.097,125.135,123.573,125.637,117.396,111.308
"ENSG00000157933",796.009,847.616,664.013,725.092,780.781,680.383
"ENSG00000157916",1395.29,1380.07,1171.27,1360.55,1236.44,960.742
"ENSG00000149527",125.187,107.207,44.2421,146.321,170.323,61.9221
"ENSG00000157873",94.6794,91.7892,61.405,97.6749,89.9371,63.4416
"ENSG00000157870",350.665,326.282,414.96,290.726,270.209,373.052
"ENSG00000169717",0,0,0,0,0,0
"ENSG00000142611",0.701329,0.358552,0.381397,2.68127,1.98976,0.37989
"ENSG00000130762",6.66263,8.60524,11.8233,11.4912,9.9488,11.0168
"ENSG00000158109",856.674,960.56,674.692,693.683,693.232,517.03
"ENSG00000078900",2.10399,2.15131,2.28838,1.91519,1.19386,4.55868
"ENSG00000162592",0.350665,0,0,0,0,0
"ENSG00000235169",3.50665,4.30262,4.57677,5.36254,4.37747,6.07824
"ENSG00000266075",0,0,0,0.383039,0.795904,0.37989
"ENSG00000236423",5.25997,7.88813,9.15353,6.51166,7.16313,6.07824
"ENSG00000268811",5.25997,7.88813,9.15353,6.51166,7.16313,6.07824
"ENSG00000196581",0,0,0,0,0,0
"ENSG00000264341",0,0,0,0,0,0
"ENSG00000069424",95.0301,115.812,73.9911,102.654,101.876,64.2014
"ENSG00000158286",195.671,111.51,75.8981,76.6078,193.803,105.609
"ENSG00000225077",3.50665,2.86841,6.86515,4.21343,2.38771,5.69835
"ENSG00000173673",0,0,0,0,0,0
"ENSG00000158292",33.3161,45.5229,46.482,33.5473,37.837,39.7717
"ENSG00000187017",10.8706,11.1151,10.6791,9.95901,15.9181,13.2961
"ENSG00000253022",0,0,0,0,0,0
"ENSG00000173662",0.350665,0,0.381397,1.91519,0,0
"ENSG00000204859",177.436,171.746,140.354,174.666,203.751,167.152
"ENSG00000116273",300.87,297.598,300.16,205.309,255.087,269.342
"ENSG00000041988",125.889,127.644,138.066,91.1632,79.1924,81.2965
"ENSG00000171735",124.837,126.927,128.531,134.064,143.661,99.9111
"ENSG00000207056",0,0,0,0,0,0
"ENSG00000237402",0,0,0,0,0,0
"ENSG00000049245",1012.37,943.708,1050.37,892.48,905.34,940.987
"ENSG00000049246",84.8608,74.5787,89.247,67.7979,93.5187,105.609
"ENSG00000116288",1329.02,1201.15,1461.51,1360.94,1200.22,1143.47
"ENSG00000162426",12.6239,13.625,9.53493,20.6841,24.2751,9.49725
"ENSG00000234619",0,0.358552,0,0,0.397952,0
"ENSG00000230679",1.05199,0,1.52559,1.14912,1.59181,0
"ENSG00000238249",0,0.358552,0,0,0,0
"ENSG00000131686",0,0,0,0.383039,0,0
"ENSG00000049239",130.798,152.743,109.461,146.321,162.364,130.682
"ENSG00000171621",98.5368,99.3188,105.647,111.464,142.865,103.33
"ENSG00000171612",127.642,117.605,138.829,158.578,145.65,124.984
"ENSG00000188807",116.421,117.605,131.963,112.996,98.2941,139.04
"ENSG00000171608",52.249,58.0854,102.596,79.6721,64.0702,99.5312
"ENSG00000202415",0.350665,0.358552,1.52559,0.383039,0.397952,1.13967
"ENSG00000265521",0,0,0,0,0,0
"ENSG00000162444",61.3663,58.8025,73.9911,61.2862,51.7337,56.2237
"ENSG00000130939",224.776,279.67,255.918,267.361,269.413,295.175
"ENSG00000233623",0,0,0,0,0,0
"ENSG00000201746",0,0,0,0,0,0
"ENSG00000264881",0,0,0,0,0,0
