"ensembl_gene_id","PC3MNT1","PC3MNT2","PC3MNT3","PC3MTR1","PC3MTR2","PC3MTR3"
"ENSG00000223972",0,0,0,0,0,0
"ENSG00000259553",0,0,0,0,0,0
"ENSG00000267588",0,0,0,0,0,0
"ENSG00000227518",0,0,0,0,0,0
"ENSG00000243485",0,0,0,0,0,0
"ENSG00000268020",0,0,0,0,0,0
"ENSG00000240361",0,0,0,0,0,0
"ENSG00000186092",0,0,0,0,0,0
"ENSG00000233750",6.62503,3.01493,6.00711,3.26863,4.13085,3.97299
"ENSG00000235249",0,0,0,0,0,0
"ENSG00000225972",1.24219,1.1306,2.25267,1.08954,1.87766,1.80591
"ENSG00000225630",147.407,203.885,180.213,199.75,197.53,209.124
"ENSG00000268663",0,0,0,0,0,0
"ENSG00000229376",0,0,0,0,0,0
"ENSG00000177757",0.414064,0,0,0,0,0.361181
"ENSG00000228794",33.9533,36.556,45.8042,47.9399,50.6968,48.3983
"ENSG00000234711",0,0,0,0,0,0
"ENSG00000187634",4.14064,4.5224,4.50533,4.35818,4.88192,3.61181
"ENSG00000187961",50.5158,30.903,44.6779,36.6813,34.549,20.9485
"ENSG00000187583",21.5313,18.0896,29.2846,24.6963,21.7809,18.0591
"ENSG00000187608",129.602,132.657,210.624,188.128,164.483,152.78
"ENSG00000207730",0,0,0,0,0,0
"ENSG00000207607",0,0,0,0,0,0
"ENSG00000198976",0,0,0,0,0,0
"ENSG00000162571",0,0.753733,0.375444,0.363181,0,0
"ENSG00000176022",258.376,292.071,325.51,281.829,284.278,316.034
"ENSG00000162572",6.21096,4.89926,6.758,9.44272,10.8904,7.94599
"ENSG00000169972",96.0629,109.291,155.809,99.5117,111.909,106.91
"ENSG00000224051",99.7895,94.9703,147.174,91.5217,82.2415,91.3789
"ENSG00000169962",0.828128,1.50747,3.00355,2.54227,2.25319,1.80591
"ENSG00000205116",0,0,0,0,0,0
"ENSG00000179403",12.0079,10.1754,12.0142,11.2586,10.5149,6.14008
"ENSG00000215915",5.38283,4.89926,3.379,5.8109,4.88192,6.86245
"ENSG00000160072",570.995,460.531,555.657,507.728,547.15,421.137
"ENSG00000197785",295.228,278.504,421.999,407.49,381.916,316.756
"ENSG00000197530",68.3206,52.0076,130.279,90.4322,76.233,68.9856
"ENSG00000189409",0.414064,0.753733,0,0,0,0
"ENSG00000215914",0,0,0,0,0,0
"ENSG00000169885",1.24219,0,0.750888,0,1.87766,0
"ENSG00000187730",0,0,0,0,0,0.361181
"ENSG00000067606",100.618,103.638,114.135,107.865,119.044,94.2683
"ENSG00000157933",486.111,509.523,650.269,562.205,481.057,514.683
"ENSG00000157916",830.613,826.091,865.774,775.029,847.201,770.039
"ENSG00000149527",4.55471,4.5224,7.88433,4.72136,6.00851,7.22363
"ENSG00000157873",2.07032,5.653,4.12989,4.35818,4.88192,2.52827
"ENSG00000157870",167.696,165.444,156.185,123.845,117.542,117.745
"ENSG00000169717",0,0,0,0,0,0
"ENSG00000142611",0,0,0,0,0,0
"ENSG00000130762",0.828128,0,0.375444,1.08954,0.751064,0
"ENSG00000158109",332.494,374.228,324.008,230.257,290.286,261.134
"ENSG00000078900",0.414064,0.753733,0.750888,0.726363,1.50213,2.16709
"ENSG00000162592",0,0,0,0,0,0
"ENSG00000235169",1.24219,4.14553,4.88077,4.72136,3.00426,4.69536
"ENSG00000266075",0,0,0,0.726363,0,0.361181
"ENSG00000236423",0.828128,1.88433,0.375444,0.363181,1.50213,1.44473
"ENSG00000268811",0.828128,1.88433,0.375444,0.363181,1.50213,1.44473
"ENSG00000196581",0,0,0,0,0,0
"ENSG00000264341",0,0,0,0,0,0
"ENSG00000069424",127.946,145.847,141.542,137.283,129.934,138.694
"ENSG00000158286",125.047,68.5897,54.8148,73.7258,102.145,33.951
"ENSG00000225077",0.828128,0.753733,0.750888,0.363181,0.751064,0.361181
"ENSG00000173673",0,0,0,0,0,0
"ENSG00000158292",3.29147,8.2753,4.8422,1.44664,3.29954,3.34906
"ENSG00000187017",6.62503,5.27613,4.50533,5.08454,5.63298,5.41772
"ENSG00000253022",0,0,0,0,0,0
"ENSG00000173662",0,0,0,0,0.375532,0
"ENSG00000204859",101.446,102.885,103.623,93.7008,122.048,114.856
"ENSG00000116273",238.087,244.963,224.516,199.387,206.167,186.37
"ENSG00000041988",74.1175,67.0822,64.5764,53.0245,48.8192,48.0371
"ENSG00000171735",152.376,161.676,166.322,176.143,175.374,170.478
"ENSG00000207056",0,0,0,0,0,0
"ENSG00000237402",0,0,0.375444,0.363181,0,0
"ENSG00000049245",693.558,676.852,634.501,642.105,660.561,638.207
"ENSG00000049246",68.7347,74.6195,71.3344,53.0245,57.0809,61.0396
"ENSG00000116288",1751.91,1785.22,1514.92,1640.13,1800.3,1701.89
"ENSG00000162426",3.72658,4.14553,6.00711,4.72136,4.13085,3.61181
"ENSG00000234619",0,0.376866,1.12633,0,0,0.722363
"ENSG00000230679",2.07032,0,2.25267,1.81591,2.25319,1.44473
"ENSG00000238249",0,0.376866,0,0,0,0
"ENSG00000131686",0.828128,0.753733,0.375444,0,0,0
"ENSG00000049239",174.735,209.538,244.039,195.755,189.644,212.736
"ENSG00000171621",69.1487,63.6904,75.4643,82.079,69.849,69.3468
"ENSG00000171612",353.611,360.661,296.601,454.703,519.736,439.197
"ENSG00000188807",280.321,220.844,286.464,252.048,244.096,214.542
"ENSG00000171608",7.03909,6.02986,8.63522,7.26363,5.63298,5.7789
"ENSG00000202415",0.828128,0.753733,1.50178,1.45273,1.1266,0.361181
"ENSG00000265521",0,0,0,0,0,0
"ENSG00000162444",8.69535,10.5523,9.76155,7.26363,9.3883,5.7789
"ENSG00000130939",344.915,345.21,370.188,371.171,333.473,370.933
"ENSG00000233623",0,0,0,0,0,0
"ENSG00000201746",0,0,0,0,0,0
"ENSG00000264881",0,0,0,0,0,0
"ENSG00000199562",0,0,0,0,0,0
